2, 0, Control_c, 0, 10, 70
2, 0, Control_c, 0, 91, 50
2, 5, Control_c, 0, 93, 24
2, 10, Text_t, "TVF cutoff freq.    "
2, 10, Control_c, 0, 99, 1
2, 15, Control_c, 0, 98, 32
2, 20, Control_c, 0, 6, 64
2, 25, Text_t, "TVF Resonance       "
2, 25, Control_c, 0, 98, 33
2, 30, Control_c, 0, 6, 64
2, 35, Text_t, "TVF&TVA Env.Attack  "
2, 35, Control_c, 0, 98, 99
2, 40, Control_c, 0, 6, 64
2, 45, Text_t, "TVF&TVA Env.Decay   "
2, 45, Control_c, 0, 98, 100
2, 50, Control_c, 0, 6, 65
2, 55, Text_t, "TVF&TVA Env.Release "
2, 55, Control_c, 0, 98, 102
2, 60, Control_c, 0, 6, 64
2, 720, Control_c, 0, 64, 127
2, 838, Note_on_c, 0, 65, 55
2, 936, Note_on_c, 0, 65, 0
2, 963, Note_on_c, 0, 67, 60
2, 1064, Note_on_c, 0, 67, 0
2, 1078, Control_c, 0, 64, 0
2, 1082, Control_c, 0, 64, 127
2, 1199, Note_on_c, 0, 68, 56
2, 1305, Note_on_c, 0, 68, 0
2, 1326, Note_on_c, 0, 70, 61
2, 1429, Note_on_c, 0, 70, 0
2, 1437, Control_c, 0, 64, 0
2, 1441, Control_c, 0, 64, 127
2, 1560, Note_on_c, 0, 72, 63
2, 1661, Note_on_c, 0, 72, 0
2, 1679, Note_on_c, 0, 73, 65
2, 1776, Note_on_c, 0, 73, 0
2, 1795, Control_c, 0, 64, 0
2, 1796, Note_on_c, 0, 72, 70
2, 1799, Control_c, 0, 64, 127
2, 1894, Note_on_c, 0, 72, 0
2, 1920, Note_on_c, 0, 80, 75
2, 2019, Note_on_c, 0, 80, 0
2, 2036, Note_on_c, 0, 79, 77
2, 2132, Note_on_c, 0, 79, 0
2, 2156, Control_c, 0, 64, 0
2, 2158, Note_on_c, 0, 77, 86
2, 2160, Control_c, 0, 64, 127
2, 2254, Note_on_c, 0, 77, 0
2, 2278, Note_on_c, 0, 72, 77
2, 2378, Note_on_c, 0, 72, 0
2, 2398, Note_on_c, 0, 73, 86
2, 2500, Note_on_c, 0, 73, 0
2, 2516, Note_on_c, 0, 72, 91
2, 2516, Control_c, 0, 64, 0
2, 2520, Control_c, 0, 64, 127
2, 2613, Note_on_c, 0, 72, 0
2, 2635, Note_on_c, 0, 68, 88
2, 2730, Note_on_c, 0, 68, 0
2, 2762, Note_on_c, 0, 65, 89
2, 2854, Note_on_c, 0, 65, 0
2, 2876, Control_c, 0, 64, 0
2, 2878, Note_on_c, 0, 60, 107
2, 2880, Control_c, 0, 64, 127
2, 3237, Control_c, 0, 64, 0
2, 3241, Control_c, 0, 64, 127
2, 3594, Control_c, 0, 64, 0
2, 3610, Note_on_c, 0, 60, 0
2, 3721, Note_on_c, 0, 65, 55
2, 3823, Note_on_c, 0, 65, 0
2, 3838, Note_on_c, 0, 67, 58
2, 3929, Note_on_c, 0, 67, 0
2, 4078, Note_on_c, 0, 68, 56
2, 4173, Note_on_c, 0, 68, 0
2, 4196, Note_on_c, 0, 70, 56
2, 4293, Note_on_c, 0, 70, 0
2, 4437, Note_on_c, 0, 72, 65
2, 4537, Note_on_c, 0, 72, 0
2, 4557, Note_on_c, 0, 73, 63
2, 4656, Note_on_c, 0, 73, 0
2, 4678, Note_on_c, 0, 72, 66
2, 4779, Note_on_c, 0, 72, 0
2, 4800, Note_on_c, 0, 84, 78
2, 4913, Note_on_c, 0, 84, 0
2, 4924, Note_on_c, 0, 80, 66
2, 5015, Note_on_c, 0, 80, 0
2, 5034, Note_on_c, 0, 79, 78
2, 5129, Note_on_c, 0, 79, 0
2, 5164, Note_on_c, 0, 72, 73
2, 5271, Note_on_c, 0, 72, 0
2, 5282, Note_on_c, 0, 73, 76
2, 5378, Note_on_c, 0, 73, 0
2, 5395, Note_on_c, 0, 72, 82
2, 5496, Note_on_c, 0, 72, 0
2, 5519, Note_on_c, 0, 67, 80
2, 5616, Note_on_c, 0, 67, 0
2, 5638, Note_on_c, 0, 60, 78
2, 5738, Note_on_c, 0, 60, 0
2, 5762, Note_on_c, 0, 65, 91
2, 5820, Note_on_c, 0, 65, 0
2, 5822, Note_on_c, 0, 67, 84
2, 5882, Note_on_c, 0, 67, 0
2, 5882, Note_on_c, 0, 68, 93
2, 6381, Note_on_c, 0, 68, 0
2, 6480, Control_c, 0, 67, 127
2, 6600, Note_on_c, 0, 65, 55
2, 6701, Note_on_c, 0, 65, 0
2, 6721, Note_on_c, 0, 67, 60
2, 6817, Note_on_c, 0, 67, 0
2, 6959, Note_on_c, 0, 68, 61
2, 7058, Note_on_c, 0, 68, 0
2, 7080, Note_on_c, 0, 70, 61
2, 7183, Note_on_c, 0, 70, 0
2, 7321, Note_on_c, 0, 72, 63
2, 7424, Note_on_c, 0, 72, 0
2, 7442, Note_on_c, 0, 73, 66
2, 7550, Note_on_c, 0, 73, 0
2, 7562, Note_on_c, 0, 72, 78
2, 7665, Note_on_c, 0, 72, 0
2, 7680, Note_on_c, 0, 80, 78
